STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,DONOR,Donor,RECIPIENT,Recipient,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,UNIT_MULT,Unit multiplier,FLOW_TYPE,Flow type,OBS_STATUS,Observation status
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2013,,27.262372,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2017,,166.336922,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2017,,166.336922,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2021,,214.626565,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2021,,214.626565,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2020,,190.293,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2020,,190.293,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2023,,253.945672,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2023,,253.945672,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,DPGC,Developing countries,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2022,,276.032692,,2023,,6,Millions,D,Disbursements,A,Normal value
DATAFLOW,OECD.DCD.FSD:DSD_DAC2@DF_DAC2A(1.3),DAC2A: Aid (ODA) disbursements to countries and regions,I,9PRIV0,Private Donors,ALLR,All recipients,216,Humanitarian aid,USD,US dollar,Q,Constant prices,2022,,276.032692,,2023,,6,Millions,D,Disbursements,A,Normal value
